maxPrice,essence,diesel,hybrid,elec,manual,auto,id
22000,t,t,f,f,t,f,1553
24000,f,t,f,f,t,f,1554
19000,f,t,f,f,t,f,1555
-1,f,t,f,f,t,f,1569
21000,f,t,f,f,t,f,1556
21000,f,t,f,f,t,f,1557
23000,f,t,f,f,t,f,1558
-1,t,t,f,f,t,f,1559
21000,f,t,f,f,t,f,1560
20000,f,t,f,f,t,f,1561
22000,t,f,f,f,t,f,1562
21000,f,t,f,f,t,f,1568
-1,f,t,f,f,t,f,1570
-1,f,f,t,f,f,f,1571
21000,f,t,f,f,t,f,1572
-1,f,f,f,t,f,f,1573
22000,t,f,f,f,t,f,1574
21000,f,t,f,f,t,f,1575
22000,f,t,f,f,t,f,1576
24000,f,t,f,f,t,f,1577
-1,f,t,f,f,t,f,1583
21000,f,t,f,f,t,f,1578
-1,f,f,f,f,f,f,1580
-1,t,t,f,f,t,f,1584
22000,f,t,f,f,t,f,1579
22000,f,t,f,f,t,f,1581
22000,t,f,f,f,t,f,1582
21000,f,t,f,f,t,f,1585
25000,f,t,f,f,t,f,1586
21000,f,t,f,f,t,f,1587
21000,f,t,f,f,t,f,1588
21000,f,t,f,f,t,f,1589
-1,t,f,f,f,t,f,1590
24000,t,t,f,f,t,f,1591
0,f,f,f,f,f,f,1593
-1,f,t,f,f,t,f,1592
-1,f,t,f,f,t,f,1594
56000,f,t,f,f,t,f,1595
21000,f,t,f,f,t,f,1596
21000,f,t,f,f,t,f,1605
21000,f,t,f,f,t,f,1597
21000,f,t,f,f,t,f,1598
20000,f,t,f,f,t,f,1603
21000,f,t,f,f,t,f,1607
21000,f,t,f,f,f,t,1599
21000,f,t,f,f,t,f,1601
21000,f,t,f,f,t,f,1602
21000,f,t,f,f,t,f,1604
21000,f,t,f,f,t,f,1600
21000,f,t,f,f,t,f,1608
21000,f,t,f,f,t,f,1606
-1,f,f,f,f,f,f,1610
21000,f,t,f,f,t,f,1609
21000,f,t,f,f,t,f,1612
-1,f,f,f,f,f,f,1614
21000,f,t,f,f,t,f,1613
21000,f,t,f,f,t,f,1615
21000,f,t,f,f,t,f,1616
23000,f,t,f,f,t,f,1639
21000,t,f,f,f,t,f,1638
26000,f,t,f,f,t,f,1617
22000,f,t,f,f,t,f,1649
21000,f,t,f,f,t,f,1611
47000,t,t,t,t,t,t,1618
21000,f,t,f,f,t,f,1619
21000,f,t,f,f,t,f,1620
21000,f,t,f,f,t,f,1621
21000,f,t,f,f,t,f,1622
-1,f,f,f,f,f,f,1623
21000,f,t,f,f,t,f,1624
22000,f,t,f,f,t,f,1625
-1,f,t,f,f,t,f,1626
22000,t,t,f,f,t,f,1627
21000,f,t,f,f,t,f,1628
21000,f,t,f,f,t,f,1629
23000,f,t,f,f,t,f,1630
22000,t,t,f,f,t,f,1631
21000,f,t,f,f,t,f,1632
22000,f,t,f,f,t,f,1657
22000,t,t,f,f,t,f,1633
23000,f,f,f,f,t,f,1650
22000,f,t,f,f,t,f,1634
-1,f,f,f,f,f,f,1635
-1,f,f,f,f,f,f,1636
21000,f,t,f,f,t,f,1637
23000,f,t,f,f,t,f,1642
22000,t,t,f,f,t,f,1640
22000,f,t,f,f,t,f,1644
23000,t,f,f,f,t,f,1643
22000,f,t,f,f,t,f,1645
-1,f,t,f,f,t,f,1653
39000,t,t,t,t,t,t,1659
-1,f,t,f,f,f,f,1662
22000,f,t,f,f,t,f,1647
22000,f,t,f,f,t,f,1652
-1,f,f,f,f,f,f,1646
-1,f,t,f,f,t,f,1648
22000,f,f,f,f,f,f,1651
22000,f,t,f,f,t,f,1654
42000,t,t,t,t,t,f,1656
26000,f,f,f,f,t,f,1655
-1,f,f,f,f,f,f,1658
29000,t,t,t,t,t,t,1661
22000,f,t,f,f,t,f,1660
22000,f,t,f,f,t,f,1663
50000,t,t,f,f,t,f,1664
88000,t,t,f,f,t,f,1666
34000,t,t,f,f,t,f,1668
22000,f,t,f,f,t,f,1665
22000,f,t,f,f,t,f,1667
22000,f,t,f,f,t,f,1670
22000,f,f,f,f,t,f,1669
21000,t,f,f,f,t,f,1671
22000,f,t,f,f,t,f,1673
21000,f,t,f,f,t,f,1672
22000,f,t,f,f,t,f,1676
41000,f,t,f,f,t,f,1675
21000,f,f,f,f,t,f,1674
22000,f,t,f,f,t,f,1677
22000,f,t,f,f,t,f,1680
-1,f,f,f,f,f,f,1682
-1,f,f,f,f,f,f,1678
21000,f,f,f,f,t,f,1679
21000,f,t,f,f,t,f,1641
21000,f,t,f,f,t,f,1681
22000,f,t,f,f,t,f,1706
22000,f,t,f,f,t,f,1684
21000,f,t,f,f,t,f,1683
25000,t,f,f,f,t,f,1686
22000,f,t,f,f,f,f,1705
-1,f,t,f,f,t,f,1707
21000,f,t,f,f,t,f,1685
22000,f,t,f,f,t,f,1687
-1,f,t,f,f,t,f,1688
-1,f,t,f,f,t,f,1690
3000,f,t,f,f,t,f,1691
22000,f,t,f,f,t,f,1689
2000,f,t,f,f,t,f,1692
-1,f,f,f,f,f,f,1693
-1,t,t,f,f,t,f,1708
10000,f,f,f,f,f,f,1694
4000,f,t,f,f,t,f,1695
21000,f,f,f,f,t,f,1696
21000,f,t,f,f,t,f,1697
22000,f,t,f,f,t,f,1709
25000,f,t,f,f,t,f,1698
26000,f,t,f,f,t,f,1699
-1,f,f,f,f,f,f,1701
-1,f,f,f,f,f,f,1702
22000,f,t,f,f,t,f,1700
-1,f,t,f,f,t,f,1726
22000,f,t,f,f,t,f,1711
21000,f,t,f,f,t,f,1703
22000,f,t,f,f,t,f,1704
21000,f,f,f,f,f,t,1710
22000,f,f,f,f,f,f,1712
22000,f,t,f,f,t,f,1718
49000,t,f,f,f,t,f,1722
24000,f,t,f,f,f,t,1713
21000,f,t,f,f,t,f,1714
0,f,t,f,f,t,f,1715
22000,f,t,f,f,t,f,1723
21000,f,t,f,f,t,f,1728
22000,f,t,f,f,t,f,1719
20000,f,t,f,f,t,f,1729
24000,f,t,f,f,f,f,1717
21000,f,t,f,f,t,f,1730
-1,f,f,f,f,f,f,1720
21000,f,t,f,f,t,f,1721
21000,f,t,f,f,f,f,1725
21000,f,t,f,f,t,f,1732
22000,f,t,f,f,t,f,1724
21000,f,t,f,f,t,f,1727
21000,f,t,f,f,t,f,1716
21000,f,t,f,f,t,f,1731
20000,f,t,f,f,t,f,1733
21000,f,t,f,f,t,f,1734
23000,f,t,f,f,t,f,1735
21000,f,t,f,f,t,f,1736
27000,f,t,f,f,t,f,1738
-1,f,f,f,f,f,f,1744
37000,t,f,f,f,t,f,1739
35000,f,t,f,f,t,f,1740
16000,f,t,f,f,t,f,1737
29000,f,t,f,f,t,f,1741
22000,f,t,f,f,t,f,1742
21000,f,t,f,f,t,f,1743
21000,f,t,f,f,t,f,1747
21000,f,t,f,f,t,f,1745
41000,f,t,f,f,t,f,1746
22000,f,t,f,f,t,f,1748
