maxPrice,essence,diesel,hybrid,elec,manual,auto,id
48000,f,t,f,f,f,t,979
48000,f,t,f,f,f,t,981
49000,f,t,f,f,f,t,982
48000,f,t,f,f,f,t,983
48000,f,t,f,f,f,t,984
48000,f,t,f,f,f,t,985
48000,f,t,f,f,f,t,986
54000,t,t,f,f,f,t,1023
67000,f,t,f,f,f,t,987
48000,f,t,f,f,f,t,980
-1,f,f,f,f,f,f,988
47000,f,t,f,f,t,f,989
47000,f,t,f,f,f,t,990
45000,f,t,f,f,t,f,991
55000,f,t,f,f,f,t,992
15000,f,t,f,f,t,f,993
47000,f,t,f,f,f,t,994
45000,f,t,f,f,t,f,995
47000,f,t,f,f,f,t,996
47000,f,t,f,f,f,t,997
47000,f,t,f,f,f,t,998
48000,f,t,f,f,t,f,999
-1,f,f,f,f,f,f,1024
-1,f,t,f,f,f,t,1000
47000,f,t,f,f,f,t,1001
47000,f,t,f,f,f,t,1002
47000,f,t,f,f,f,t,1004
47000,f,t,f,f,f,t,1005
57000,f,t,f,f,f,t,1006
44000,f,t,f,f,f,t,1007
50000,f,t,f,f,f,t,1003
47000,f,t,f,f,f,t,1009
56000,f,t,f,f,t,f,1010
14000,t,t,f,f,t,f,1011
47000,f,t,f,f,f,t,1012
47000,f,t,f,f,f,t,1013
51000,f,t,f,f,f,t,1014
13000,f,f,f,f,f,f,1015
16000,f,f,f,f,f,f,1016
47000,f,t,f,f,f,t,1017
-1,f,f,t,f,f,f,1018
47000,f,t,f,f,f,t,1019
-1,f,t,f,f,f,t,1020
47000,f,t,f,f,f,t,1021
-1,f,f,f,f,f,f,1025
48000,f,t,f,f,f,t,1026
47000,f,t,f,f,f,t,1027
62000,f,t,f,f,f,t,1022
47000,f,t,f,f,f,t,1028
61000,f,t,f,f,f,t,1033
10000,t,t,t,t,t,t,1031
65000,f,f,f,f,f,f,1008
-1,f,f,f,f,f,f,1030
50000,f,t,f,f,f,t,1029
61000,f,t,f,f,f,t,1032
-1,f,f,f,f,f,f,1035
-1,f,f,f,f,f,f,1036
48000,f,t,f,f,f,t,1037
48000,f,t,f,f,f,t,1038
-1,t,t,t,t,t,t,1034
47000,t,f,f,f,t,f,1039
47000,t,f,f,f,t,t,1040
-1,f,f,f,f,f,f,1041
50000,f,t,f,f,f,t,1042
47000,f,t,f,f,f,t,1044
48000,f,t,f,f,f,t,1045
47000,f,t,f,f,f,t,1046
47000,f,t,f,f,f,t,1047
47000,f,t,f,f,f,t,1049
47000,f,t,f,f,f,t,1048
51000,f,t,f,f,f,t,1050
48000,f,t,f,f,f,t,1051
47000,f,t,f,f,f,t,1052
48000,f,t,f,f,f,t,1053
50000,f,t,f,f,f,t,1054
47000,f,t,f,f,f,t,1055
48000,f,t,f,f,f,t,1056
48000,f,t,f,f,f,t,1057
47000,f,t,f,f,f,t,1058
50000,t,t,f,f,f,t,1059
54000,f,t,f,f,f,t,1060
47000,f,t,f,f,f,t,1061
47000,f,t,f,f,f,t,1062
48000,f,t,f,f,f,t,1063
47000,f,t,f,f,f,t,1064
46000,f,t,f,f,f,t,1065
47000,f,t,f,f,f,t,1066
48000,f,t,f,f,f,t,1068
47000,f,t,f,f,f,t,1069
48000,f,t,f,f,f,t,1070
46000,f,t,f,f,f,t,1071
47000,f,t,f,f,f,t,1072
46000,f,t,f,f,f,t,1073
48000,f,t,f,f,f,t,1067
59000,f,t,f,f,f,t,1074
47000,f,t,f,f,f,t,1075
47000,f,t,f,f,f,t,1076
47000,f,t,f,f,f,t,1077
48000,f,t,f,f,f,t,1078
59000,f,t,f,f,f,t,1079
47000,f,t,f,f,f,t,1080
45000,f,t,f,f,f,t,1081
48000,f,t,f,f,t,t,1082
50000,f,t,f,f,f,t,1083
47000,f,t,f,f,f,t,1084
48000,f,t,f,f,t,t,1085
53000,f,t,f,f,f,t,1086
47000,f,t,f,f,f,t,1087
48000,f,t,f,f,f,t,1088
66000,f,t,f,f,f,t,1089
69000,f,t,f,f,f,t,1090
57000,f,t,f,f,f,t,1092
48000,f,t,f,f,f,t,1093
79000,f,t,f,f,f,t,1094
-1,t,t,t,t,t,t,1043
-1,f,t,f,f,f,t,1095
49000,f,t,f,f,f,t,1097
48000,f,t,f,f,f,t,1098
80000,f,t,f,f,f,t,1099
47000,f,t,f,f,f,t,1103
-1,f,f,f,f,f,f,1100
47000,f,t,f,f,f,t,1102
48000,t,t,f,f,f,t,1101
52000,f,t,f,f,f,t,1091
47000,f,t,f,f,f,t,1107
-1,f,t,f,f,f,t,1104
48000,f,t,f,f,f,t,1106
62000,f,t,f,f,f,t,1105
-1,f,f,f,f,f,f,1108
47000,f,t,f,f,f,t,1109
47000,f,t,f,f,t,t,1096
47000,t,t,f,f,f,t,1110
-1,f,f,f,f,f,f,1111
65000,t,f,t,f,f,t,1112
-1,f,t,f,f,f,t,1113
14000,f,t,f,f,t,f,1114
47000,f,t,f,f,f,t,1115
50000,f,t,f,f,f,t,1116
47000,f,t,f,f,f,t,1117
47000,f,t,f,f,f,t,1118
50000,f,t,f,f,t,f,1119
50000,f,t,f,f,f,t,1120
50000,f,t,f,f,f,t,1121
47000,f,t,f,f,f,t,1122
-1,f,t,f,f,f,t,1123
-1,f,t,f,f,f,t,1124
-1,f,t,f,f,f,t,1125
48000,f,t,f,f,f,t,1150
45000,f,t,f,f,f,t,1151
47000,f,t,f,f,f,t,1152
50000,f,t,f,f,f,t,1153
57000,f,t,f,f,f,t,1126
10000,t,t,t,t,f,f,1154
48000,f,t,f,f,f,t,1155
0,f,t,f,f,f,t,1156
47000,f,t,f,f,f,t,1127
47000,f,t,f,f,f,t,1128
49000,f,t,f,f,f,t,1129
48000,f,t,f,f,f,t,1130
54000,f,t,f,f,f,t,1131
47000,f,t,f,f,f,t,1132
47000,f,t,f,f,f,t,1133
47000,f,t,f,f,f,t,1134
47000,f,t,f,f,f,t,1135
47000,f,t,f,f,f,t,1136
47000,f,t,f,f,f,t,1137
47000,f,t,f,f,f,t,1138
49000,f,t,f,f,f,t,1139
49000,f,t,f,f,f,t,1140
-1,f,f,f,f,f,f,1141
-1,f,f,f,f,f,f,1142
48000,f,t,f,f,f,t,1143
-1,f,t,f,f,f,t,1144
-1,f,t,f,f,f,t,1145
55000,f,t,f,f,f,t,1146
56000,f,t,f,f,f,t,1147
47000,f,t,f,f,f,t,1148
48000,f,t,f,f,f,t,1149
0,f,t,f,f,f,t,1157
49000,f,t,f,f,f,t,1158
47000,f,t,f,f,f,t,1159
58000,f,t,f,f,f,t,1160
58000,f,t,f,f,f,t,1161
47000,f,t,f,f,f,t,1162
47000,f,t,f,f,f,t,1163
65000,f,t,f,f,f,t,1164
80000,f,t,f,f,f,t,1165
90000,f,t,f,f,f,t,1166
47000,f,t,f,f,f,t,1167
30000,f,t,f,f,f,t,1176
50000,f,t,f,f,f,t,1177
45000,f,t,f,f,f,t,1184
48000,f,t,f,f,f,t,1185
47000,f,t,f,f,f,t,1189
-1,f,t,f,f,f,t,1192
-1,f,t,f,f,f,t,1193
47000,f,t,f,f,f,t,1197
48000,f,t,f,f,f,t,1199
47000,f,t,f,f,f,t,1203
-1,f,t,f,f,f,t,1168
-1,f,t,f,f,f,t,1169
-1,f,t,f,f,f,t,1170
-1,f,t,f,f,f,t,1171
40000,f,t,f,f,f,t,1175
49000,f,t,f,f,f,t,1178
23000,f,t,f,f,f,t,1179
50000,f,t,f,f,f,t,1180
48000,f,t,f,f,f,t,1182
45000,f,t,f,f,f,t,1183
48000,f,t,f,f,f,t,1186
47000,f,t,f,f,f,t,1188
47000,f,t,f,f,f,t,1194
-1,f,t,f,f,f,t,1204
48000,f,t,f,f,f,t,1172
48000,f,t,f,f,f,t,1191
42000,f,t,f,f,f,t,1173
47000,f,t,f,f,f,t,1190
47000,f,t,f,f,f,f,1201
39000,f,t,f,f,f,t,1174
47000,f,t,f,f,f,t,1187
47000,f,t,f,f,f,t,1195
48000,f,t,f,f,f,t,1198
46000,f,t,f,f,f,t,1181
47000,f,t,f,f,f,t,1196
-1,f,f,f,f,f,f,1200
48000,f,t,f,f,f,t,1202
48000,f,f,f,f,t,f,1205
46000,f,f,f,f,t,f,1206
50000,f,t,f,f,t,f,1207
50000,f,t,f,f,t,f,1208
-1,f,t,f,f,t,f,1209
-1,f,t,f,f,t,f,1210
-1,f,f,f,f,f,f,1211
52000,f,t,f,f,f,t,1212
48000,f,t,f,f,t,f,1213
50000,f,t,f,f,f,t,1214
48000,f,t,f,f,f,t,1215
49000,f,t,f,f,f,t,1216
47000,f,t,f,f,f,t,1217
46000,f,t,f,f,f,t,1218
89000,f,t,f,f,f,t,1219
87000,f,t,f,f,f,t,1220
50000,f,t,f,f,f,t,1221
50000,f,t,f,f,f,t,1222
44000,t,f,f,f,t,f,1223
48000,t,f,f,f,t,f,1224
47000,f,t,f,f,f,t,1225
49000,f,t,f,f,f,t,1226
-1,t,t,f,f,t,f,1227
13000,f,t,f,f,t,f,1228
50000,f,t,f,f,f,t,1229
66000,f,t,f,f,f,t,1230
47000,f,t,f,f,f,t,1231
11000,f,t,f,f,t,f,1232
