brand,model,dealer,url,price,year,km,fuel,gearbox,color,doors,seats,fiscalPower,DINPower,critAir,nb_img,link,car_id
VOLKSWAGEN,T-Roc,groupe_gueudet,https://www.leboncoin.fr/voitures/2284520685.htm,30990,2019,54588,Diesel,Automatique,Noir,5,5,8,150,2,20,"",294
SEAT,Ibiza,groupe_gueudet,https://www.leboncoin.fr/voitures/2294074228.htm,15490,2021,30766,Essence,Manuelle,Blanc,5,5,5,95,1,20,"",296
VOLKSWAGEN,Touran,groupe_gueudet,https://www.leboncoin.fr/voitures/2259992131.htm,27990,2019,53271,Diesel,Manuelle,Bleu,5,,8,150,2,20,"",297
MINI,Countryman,groupe_gueudet,https://www.leboncoin.fr/voitures/2294074234.htm,32990,2019,26500,Hybride,Automatique,Bleu,5,5,6,136,,20,"",298
VOLKSWAGEN,T-Roc,groupe_gueudet,https://www.leboncoin.fr/voitures/2280974387.htm,28990,2019,38647,Essence,Automatique,Bleu,5,5,8,150,1,20,"",299
SKODA,Karoq,groupe_gueudet,https://www.leboncoin.fr/voitures/2295009495.htm,21990,2019,28062,Essence,Manuelle,Blanc,5,5,6,116,1,20,"",300
VOLKSWAGEN,Arteon,groupe_gueudet,https://www.leboncoin.fr/voitures/2287944255.htm,39990,2021,10352,Diesel,Automatique,Gris,5,5,8,150,2,20,"",301
VOLKSWAGEN,Passat,groupe_gueudet,https://www.leboncoin.fr/voitures/2291219548.htm,23990,2018,80533,Diesel,Automatique,Bleu,4,5,8,150,2,20,"",302
VOLKSWAGEN,Polo,groupe_gueudet,https://www.leboncoin.fr/voitures/2264582149.htm,21490,2022,10784,Essence,Manuelle,Rouge,5,5,5,95,1,20,"",304
VOLKSWAGEN,T-Roc,groupe_gueudet,https://www.leboncoin.fr/voitures/2282666577.htm,27990,2020,40904,Essence,Automatique,Noir,5,5,8,150,1,20,"",305
VOLKSWAGEN,Golf,groupe_gueudet,https://www.leboncoin.fr/voitures/2283137988.htm,42990,2021,7084,Essence,Automatique,Blanc,5,5,14,245,1,20,"",306
VOLKSWAGEN,Golf,groupe_gueudet,https://www.leboncoin.fr/voitures/2298160713.htm,31990,2020,15626,Hybride,Automatique,Gris,5,5,8,150,,20,"",307
VOLKSWAGEN,Polo,groupe_gueudet,https://www.leboncoin.fr/voitures/2229972063.htm,21990,2021,25100,Essence,Automatique,Bleu,5,5,5,95,1,20,"",308
VOLKSWAGEN,Tiguan,groupe_gueudet,https://www.leboncoin.fr/voitures/2272265380.htm,29990,2020,77969,Diesel,Automatique,Gris,5,5,8,150,2,20,"",309
VOLKSWAGEN,T-Cross,groupe_gueudet,https://www.leboncoin.fr/voitures/2280974394.htm,23990,2019,31797,Essence,Automatique,Blanc,5,5,6,115,1,20,"",310
VOLKSWAGEN,T-Roc,groupe_gueudet,https://www.leboncoin.fr/voitures/2270257642.htm,26990,2019,82913,Diesel,Automatique,Marron,5,5,8,150,2,20,"",311
VOLKSWAGEN,Polo,groupe_gueudet,https://www.leboncoin.fr/voitures/2291945160.htm,15990,2019,38500,Essence,Manuelle,Blanc,5,5,5,95,1,20,"",312
VOLKSWAGEN,Golf Sportsvan,groupe_gueudet,https://www.leboncoin.fr/voitures/2290769211.htm,20990,2020,45075,Essence,Manuelle,Noir,5,5,6,130,1,20,"",313
VOLKSWAGEN,Passat,groupe_gueudet,https://www.leboncoin.fr/voitures/2294074238.htm,24990,2018,82910,Hybride,Automatique,Bleu,5,5,6,156,,20,"",315
PEUGEOT,208,groupe_gueudet,https://www.leboncoin.fr/voitures/2295010087.htm,21990,2020,9157,Essence,Automatique,Gris,5,5,5,100,1,20,"",317
VOLKSWAGEN,Polo,groupe_gueudet,https://www.leboncoin.fr/voitures/2267219342.htm,20490,2021,15648,Essence,Manuelle,Noir,5,5,5,95,1,20,"",318
FORD,Grand C-MAX,as_cars,https://www.leboncoin.fr/voitures/2304752186.htm,8490,2011,143311,Diesel,Manuelle,Gris,5,,6,115,2,13,"",319
VOLVO,XC60,groupe_gueudet,https://www.leboncoin.fr/voitures/2300507581.htm,46990,2021,47880,Diesel,Automatique,Noir,5,5,11,197,2,20,win,314
MINI,Autres,as_cars,https://www.leboncoin.fr/voitures/2305788886.htm,13990,2012,77500,Essence,Automatique,Blanc,3,2,7,122,1,12,"",320
JEEP,Grand Cherokee,as_cars,https://www.leboncoin.fr/voitures/2289901896.htm,14990,2007,118604,Diesel,Automatique,Noir,5,5,15,218,3,16,"",321
NISSAN,Qashqai,as_cars,https://www.leboncoin.fr/voitures/2305788884.htm,13990,2015,118840,Essence,Automatique,Gris,5,5,6,115,1,14,"",322
VOLKSWAGEN,Polo,as_cars,https://www.leboncoin.fr/voitures/2274732956.htm,4990,2008,125300,Diesel,Manuelle,Noir,5,5,4,70,3,11,"",325
MAZDA,Mazda 5,as_cars,https://www.leboncoin.fr/voitures/2157530898.htm,6990,2009,104041,Diesel,Manuelle,Gris,5,,7,110,3,13,"",326
AUDI,TT,as_cars,https://www.leboncoin.fr/voitures/2264078686.htm,8990,2003,206300,Essence,Manuelle,Gris,2,,15,225,3,18,"",327
AUDI,A5,as_cars,https://www.leboncoin.fr/voitures/2182231183.htm,12990,2010,129000,Essence,Automatique,Noir,2,4,12,211,1,10,"",328
RENAULT,Scenic,as_cars,https://www.leboncoin.fr/voitures/2150932091.htm,6490,2013,187650,Diesel,Automatique,Gris,5,,6,110,2,14,"",329
BMW,Série 3,as_cars,https://www.leboncoin.fr/voitures/2262572525.htm,13990,2010,99760,Diesel,Automatique,Vert,4,5,10,184,2,16,"",331
LEXUS,GS,as_cars,https://www.leboncoin.fr/voitures/2278218557.htm,8490,2007,211030,Essence,Automatique,Gris,4,5,17,249,2,18,"",332
CHEVROLET,Matiz,as_cars,https://www.leboncoin.fr/voitures/2182231181.htm,4990,2010,42000,Essence,Manuelle,Rouge,5,5,4,51,2,12,"",333
CITROEN,C4 Picasso,as_cars,https://www.leboncoin.fr/voitures/2295303016.htm,7490,2012,121055,Diesel,Manuelle,Gris,5,5,6,112,2,13,"",335
CITROEN,C3,as_cars,https://www.leboncoin.fr/voitures/2304752187.htm,7490,2013,101787,Essence,Manuelle,Gris,5,5,4,82,1,13,"",336
PEUGEOT,508,as_cars,https://www.leboncoin.fr/voitures/2294833436.htm,8990,2011,130430,Diesel,Automatique,Gris,4,5,6,112,2,15,"",337
AUDI,Q5,as_cars,https://www.leboncoin.fr/voitures/2284138048.htm,19990,2014,182457,Diesel,Automatique,Marron,5,5,11,190,2,16,"",338
SEAT,Ibiza,as_cars,https://www.leboncoin.fr/voitures/2262572523.htm,6990,2013,151000,Diesel,Manuelle,Gris,5,5,4,75,2,13,"",339
RENAULT,Megane,as_cars,https://www.leboncoin.fr/voitures/2277429208.htm,5490,2010,171200,Diesel,Manuelle,Beige,2,4,6,110,,10,"",340
RENAULT,Trafic Combi,as_cars,https://www.leboncoin.fr/voitures/2235308912.htm,18490,2012,103020,Diesel,Manuelle,Blanc,5,,6,90,2,12,"",341
FIAT,Punto,as_cars,https://www.leboncoin.fr/voitures/2308022615.htm,7490,2013,71800,Essence,Manuelle,Noir,3,5,4,69,1,11,"",343
PEUGEOT,508,as_cars,https://www.leboncoin.fr/voitures/2234156431.htm,8490,2013,132800,Diesel,Manuelle,Gris,4,5,7,140,2,11,"",344
PEUGEOT,2008,as_cars,https://www.leboncoin.fr/voitures/2305788887.htm,12450,2016,111757,Essence,Automatique,Gris,5,5,6,110,1,17,"",345
MAZDA,Mazda 2,as_cars,https://www.leboncoin.fr/voitures/2150468884.htm,4490,2009,173000,Diesel,Manuelle,Orange,3,5,4,68,4,14,"",346
PEUGEOT,207,as_cars,https://www.leboncoin.fr/voitures/2298908052.htm,4990,2011,163000,Diesel,Manuelle,Bleu,5,5,4,70,2,14,"",347
DACIA,Duster,as_cars,https://www.leboncoin.fr/voitures/2264695601.htm,14490,2015,47700,Essence,Manuelle,Gris,5,5,7,125,1,14,"",349
CITROEN,C3,as_cars,https://www.leboncoin.fr/voitures/2259273430.htm,7490,2015,96015,Essence,Manuelle,Gris,5,5,4,68,1,11,"",350
KIA,Rio,as_cars,https://www.leboncoin.fr/voitures/2298907451.htm,6990,2012,121780,Essence,Manuelle,Gris,5,5,5,85,1,12,"",351
VOLKSWAGEN,Golf,as_cars,https://www.leboncoin.fr/voitures/2161928530.htm,13490,2010,133300,Essence,Manuelle,Blanc,3,5,13,210,1,14,"",352
PEUGEOT,3008,as_cars,https://www.leboncoin.fr/voitures/2302017586.htm,7490,2012,225000,Diesel,Manuelle,Gris,5,5,8,150,,14,"",355
JEEP,Renegade,as_cars,https://www.leboncoin.fr/voitures/2294835918.htm,15990,2016,131422,Diesel,Manuelle,Noir,5,5,6,120,2,17,"",356
OPEL,Corsa,as_cars,https://www.leboncoin.fr/voitures/2233134235.htm,7990,2015,123000,Diesel,Manuelle,Blanc,5,5,4,75,2,14,"",357
CITROEN,C3,as_cars,https://www.leboncoin.fr/voitures/2301027616.htm,6490,2011,114710,Diesel,Manuelle,Rouge,5,5,5,92,2,13,"",358
RENAULT,Kadjar,sofibrie,https://www.leboncoin.fr/voitures/2249176942.htm,20290,2018,73370,Diesel,Manuelle,Gris,5,5,7,131,2,19,"",1
NISSAN,Qashqai,as_cars,https://www.leboncoin.fr/voitures/2300576124.htm,10990,2012,151560,Diesel,Manuelle,Blanc,5,,7,130,2,17,"",359
