maxPrice,essence,diesel,hybrid,elec,manual,auto,id
17000,t,f,f,f,t,f,2291
17000,t,f,f,f,t,f,2293
17000,t,f,f,f,t,f,2294
20000,t,f,f,f,t,f,2508
17000,t,f,f,f,t,f,2511
17000,t,f,f,f,t,f,2515
17000,t,f,f,f,t,f,2518
18000,t,f,f,f,t,f,2525
21000,t,f,f,f,t,f,2527
17000,t,f,f,f,t,f,2531
17000,t,f,f,f,t,f,2543
21000,t,f,f,f,t,f,2545
17000,t,f,f,f,t,f,2549
18000,t,f,f,f,t,f,2550
17000,t,f,f,f,t,f,2551
17000,t,f,f,f,t,f,2552
17000,t,f,f,f,t,f,2559
18000,t,f,f,f,t,f,2800
17000,t,f,f,f,t,f,2819
-1,t,f,f,t,f,t,2831
-1,t,f,f,t,t,f,2834
17000,t,f,f,f,t,f,2283
25000,t,f,f,f,t,f,2295
18000,t,f,f,f,t,f,2509
-1,f,f,f,f,f,f,2514
17000,t,f,f,f,t,f,2517
19000,t,f,f,f,t,f,2524
18000,t,f,f,f,t,f,2528
22000,t,f,f,f,t,f,2541
17000,t,f,f,f,t,f,2557
17000,t,f,f,f,t,f,2802
-1,t,f,f,t,t,f,2830
-1,t,f,f,t,t,t,2833
17000,t,f,f,f,t,f,2857
18000,t,f,f,f,t,f,2284
19000,t,f,f,f,t,f,2510
17000,t,f,f,f,t,f,2516
18000,t,f,f,f,t,f,2526
16000,t,f,f,f,t,f,2532
18000,t,f,f,f,t,f,2534
18000,t,f,f,f,t,f,2548
17000,t,f,f,f,t,f,2553
17000,t,f,f,f,t,f,2805
21000,t,f,f,f,t,f,2806
21000,t,f,f,f,t,f,2813
18000,t,f,f,f,t,f,2555
-1,t,f,f,t,t,f,2829
-1,t,f,f,t,t,f,2836
17000,t,f,f,f,t,f,2844
17000,t,f,f,f,t,f,2846
18000,t,f,f,f,t,f,2850
17000,t,f,f,f,t,f,2858
21000,t,f,f,f,t,f,2860
18000,t,f,f,f,t,f,2861
17000,t,f,f,f,t,f,2286
17000,t,f,f,f,t,f,2512
-1,f,f,f,f,f,f,2513
-1,f,f,f,f,f,f,2533
49000,t,f,f,f,t,f,2539
41000,t,f,f,f,t,f,2540
17000,t,f,f,f,t,f,2556
21000,t,f,f,f,t,f,2814
